SentenceId	View	Opinion
S30000	天籁公爵	neu
S30001	众泰	neu
S30001	江淮	neu
S30001	兰博基尼	neu
S30002	威朗	pos
S30003	奥迪	neu
S30003	q7	neu
S30004	东风标致	neu
S30005	奔驰	neu
S30006	丰田	neu
S30007	宝马	neu
S30008	哈弗h6	pos
S30009	宝骏730	neu
S30010	哈弗	neu
S30010	吉利	neu
S30010	ec715	pos
S30011	宝骏560	neu
S30012	名图	neu
S30013	高尔夫r	neg
S30014	玛莎拉蒂	neu
S30015	名图	pos
S30016	奥迪	neu
S30017	飞度	neu
S30018	福特	neu
S30019	上海大众	neu
S30020	北京奔驰	neu
S30021	途安	neg
S30022	奥迪	pos
S30023	丰田	neu
S30024	奔驰s级	neu
S30024	迈巴赫	neu
S30024	劳斯莱斯幻影	neu
S30025	雪铁龙	neu
S30025	c4l	pos
S30026	力帆	pos
S30027	天籁	neu
S30028	迈腾	neu
S30028	速腾	neu
S30029	速腾	neu
S30030	本田思域	neu
S30031	大众	neu
S30031	宝马	neu
S30031	雪铁龙	neu
S30032	红旗	neu
S30033	奔驰	neu
S30034	幻影	neu
S30034	拉法	neu
S30034	布加迪	neu
S30035	沃尔沃	neu
S30036	雪佛兰	neu
S30037	大切诺基overlander	neu
S30038	雷凌	neu
S30039	福睿斯	neu
S30040	大众	neu
S30041	捷达	neu
S30042	奥迪	pos
S30043	别克	neu
S30044	北汽幻速s3l	neu
S30044	驭胜s330	neu
S30044	一汽丰田	neu
S30044	卡罗拉	neu
S30044	威驰	neu
S30044	雅阁	neu
S30045	大众	neu
S30046	别克	neu
S30047	铃木sx4s-cross	neu
S30048	宝马	neu
S30049	帝豪ec7	neu
S30050	长安	neu
S30050	吉利	neu
S30050	长安逸动	neu
S30050	吉利帝豪	neu
S30051	哈弗h2	neu
S30052	奥迪s3	neu
S30053	雅阁	neu
S30054	途观	neu
S30054	马自达cx5	neu
S30054	昂科威	neu
S30054	唐	pos
S30055	别克君威	neu
S30056	宝马	neu
S30057	宝马i8	pos
S30058	大众朗逸	neu
S30059	宝马	neu
S30060	东风标致308s	neu
S30061	奔驰e级	neu
