SentenceId,View,Opinion
100000,雷克萨斯,neu
100001,凯越,neu
100002,哈弗,neu
100003,兰博基尼,neu
100004,君威,neu
100004,凌度280,neu
100005,长安,neu
100006,雷诺,pos
100007,哈弗h6,pos
100008,高尔夫,pos
100009,北京现代,neu
100012,捷达,pos
100013,本田,neu
100014,朗逸,pos
100015,马自达,neu
100015,长安马自达,neu
100015,cx-5sport,neu
100016,宝马,neu
100017,宝来,neu
100018,劳斯莱斯幻影,neu
100019,夏朗,neu
100019,宝来,neu
100019,高尔夫,neu
100019,smart,neu
100020,上汽大众斯柯达速派,neu
100020,速派,neu
100020,大众,neu
100021,宝马,neu
100022,广汽传祺,neu
100024,普拉多,pos
100025,tiguan,neu
100026,汉兰达,neu
100027,比亚迪,neu
100028,荣威rx5,pos
100029,轩逸,neu
100030,翼虎,pos
100031,x80,pos
100031,奔腾x4,pos
100031,一汽奔腾,pos
100032,现代,neu
100033,速腾,pos
100034,本田思域,neu
100035,宝马5系,pos
100035,奥迪A6L,pos
100035,奔驰E级,neu
100035,辉昂,neu
100035,大众,pos
100036,一汽丰田rav4荣放,neu
100037,桑塔纳,pos
100037,ES,pos
100037,New,neu
100038,迈锐宝,neu
100038,雅阁,neu
100039,东风日产,neu
100039,东风,neu
100040,宝马x1,neu
100040,x3,neu
100040,x5,neu
100040,x6,neu
100041,哈弗,pos
100042,长安铃木,neu
100043,日产奇骏,pos
100044,凯迪拉克,neu
100045,polo,neg
100046,长安,neu
100046,睿骋CC,neu
100047,东风a9,neu
100047,东风雪铁龙c6,neu
100048,东风雪铁龙c6,pos
100049,锐界,neu
100049,汉兰达,neu
100050,朗逸,pos
100051,宝马,neu
100052,奥迪,neu
100053,天籁,neu
100053,日产天籁,neu
100054,保时捷,pos
100055,斯柯达昕锐,neu
100057,威驰,neu
100057,丰田,neu
100058,英朗,neu
100059,汉兰达,neu
100060,众泰sr9,pos
100060,保时捷,pos
100061,锐界,neu
100062,奇骏,neu
100063,宝骏560,neu
100064,奥迪a8,pos
100065,凯迪拉克,neu
100066,福特,neu
100067,宝马,pos
100068,东风本田,neu
100068,东风悦达起亚,neu
100068,江淮,neu
100068,一汽大众,neu
100068,一汽马自达,neu
100069,英朗,neu
100070,本田,neu
100070,思域,neu
100071,劳斯莱斯,neu
100071,rolls-royce,neu
100072,长安,neu
100073,夏利n5,neu
100074,比亚迪唐,neu
100074,比亚迪,neu
100075,h6,neu
100075,哈弗h6,neu
100075,大众,neu
100076,途观,pos
100077,大众,neu
100078,力帆x80,neu
100078,汉兰达,neu
100079,斯柯达,neu
100080,朗行,neu
100081,标致4008,pos
100082,长安cs75,pos
100083,一汽奥迪,neu
100084,宝马,neu
100084,奔驰,neu
100084,奥迪,neu
100085,天籁,neu
100086,凯美瑞,neu
100086,广汽丰田,neu
100087,宝马,pos
100087,ABB,neu
100087,奥迪,neu
100087,奔驰,neu
100088,迈锐宝,neu
100089,长安,neu
100090,凯迪拉克,pos
100091,gl8,neg
100092,翼虎,neu
100093,轩逸,neu
100093,蓝鸟,neu
100094,江淮,neu
100095,北京奔驰e300,neu
100096,宝马,neu
100097,东风日产,neu
100098,奥迪,neu
100099,昂科威,neu
100099,别克,neu
100100,斯柯达野帝2,pos
100101,速腾,neg
100102,广汽传祺ga3phev,neu
100103,凯迪拉克xts,neu
100103,雪佛兰迈锐宝,neu
100104,捷达,neu
100104,大众,neu
100104,别克新凯越,neu
100105,途观,pos
100106,众泰T700,neu
100106,三菱,neu
100107,奥迪,neu
100108,宝马,pos
100108,沃尔沃,pos
100109,众泰t600,pos
100109,t600,pos
100110,上汽,neu
100110,上汽荣威,neu
100110,荣威,neu
100111,捷豹f-pace,neu
100112,奥迪,neu
100112,q3,neu
100113,起亚,pos
100114,3008,pos
100114,昂科威,neu
100115,汉兰达,neu
100116,迈锐宝,pos
100116,迈锐宝xl,pos
100117,北京现代,neu
100117,胜达,neu
100117,ix35,neu
100117,索纳塔,neu
100118,别克,neu
100119,长安,pos
100120,凌渡280,neu
100121,斯巴鲁ＸＶ,neu
100122,帕萨特,pos
100123,凯美瑞,neu
100123,雅阁,neu
100124,大众宝来,neg
100125,威驰,pos
100126,福特翼虎,neu
100127,宝马,neu
100128,马自达6,pos
100128,宝马3系,neu
100129,别克英朗,neu
100130,汉兰达,neu
100131,xts,neu
100132,欧诺,pos
100133,长安福特锐界,pos
100134,桑塔纳3000,neu
100135,朗逸,pos
100136,凯迪拉克,neu
100137,比亚迪,neu
100138,福特,neu
100139,奔驰,pos
100139,凌特,pos
100139,smart,pos
100140,Prado,neu
100141,Yeti,neu
100141,斯柯达,neu
100142,锐界,neu
100142,福特,neu
100143,中华h330,neu
100143,大众速腾,neu
100143,h3,neu
100143,朗逸,neu
100144,速腾,neu
100145,英朗,neg
100146,奔奔mini,neu
100147,宝马,neu
100148,丰田,neu
100149,领动,neu
100149,英朗,neu
100150,瑞风s3,neu
100151,明锐,neu
100152,奔腾b50,pos
100153,红旗,neu
100154,凯越,neu
100155,卡罗拉,neu
100156,凯美瑞,neu
100156,雅阁,neu
100157,宝来,neu
100158,途观,neu
100158,大众途安,neu
100159,法拉利,neu
100160,途观,neg
100162,君越,pos
100163,宝马,neu
100164,宝骏560,neu
100165,奥迪a5,neu
100166,polo,neu
100166,上海大众,neu
100167,别克gl8,neu
100168,保时捷,pos
100168,高尔夫,pos
100169,大众,neu
100169,本田,neu
100169,奔驰,neu
100169,宝马,neu
100169,通用,neu
100169,丰田,neu
100169,保时捷,neu
100169,福特,neu
100170,宝马,neu
100171,逍客,neu
100172,奥迪,neu
100172,q3,pos
100173,凯迪拉克srx,neu
100174,奥迪50,pos
100174,Polo,pos
100175,宝马,neu
100176,凯美瑞,neg
100177,凯迪拉克,neu
100177,CT6,neu
100178,途观,neu
100179,途安l,pos
100180,奥迪r8,neu
100181,科鲁兹,pos
100181,思域,neu
100182,s-cross,neu
100182,铃木,neu
100183,一汽丰田,pos
100183,一汽,neg
100184,速派,pos
100184,大众,pos
100185,奥迪,neu
100185,z700,neu
100186,哈弗,neu
100187,途观,neu
100187,大众,neu
100188,奔驰c级,neu
100189,北京现代悦纳,neu
100189,悦纳,pos
100190,宝马,neu
100190,350,neu
100192,朗逸,neu
100193,标致,neu
100194,福特,neu
100195,polo,neu
100196,起亚kx5,pos
100197,轩逸,neu
100198,宝马,neu
100199,途观,neu
100199,博越,pos
100200,奥迪,neu
100201,现代雅科仕,neu
100202,保时捷,neu
100202,保时捷356,neu
100202,甲壳虫,neu
100203,tiguan,pos
100204,奥迪,neu
100204,奔驰,neu
100204,amg,neu
100205,别克gl8,neu
100205,别克,neu
100206,吉利,pos
100206,帝豪,pos
100207,jeep,pos
100207,威利斯ma,pos
100208,轩逸,neu
100209,路虎揽胜极光,neg
100210,索纳塔8,pos
100210,k5,pos
100211,奥迪,neu
100211,奔驰,neu
100212,宝马,neu
100212,奥迪,neu
100212,奔驰,neu
100212,路虎,neu
100213,福特,neu
100214,红旗h7,pos
100215,上汽通用五菱,neu
100215,福特,neu
100216,jeep,neu
100216,途观,neu
100216,指南者,pos
100217,帕萨特,neu
100218,悍马,neu
100220,桑塔纳,neu
100220,捷达,neu
100221,瑞纳,neu
100222,骐达,pos
100223,斯柯达,neu
100224,福特,neu
100224,蒙迪欧,neu
100225,铃木s-cross,neu
100226,上海大众,neg
100227,宝马,neu
100228,c4l,neu
100228,东风雪铁龙,neu
100229,东风风神ax7ax3a60a30l60,neu
100230,东风日产,neu
100231,本田,neu
100232,cs75,pos
100233,奥迪,neu
100234,奔驰e级,pos
100236,翼虎,pos
100236,福特翼虎,pos
100236,福特,neu
100237,别克昂科拉,neu
100238,大众,pos
100239,奥迪a4l,neu
100240,昕动,pos
100241,长安cs35,neu
100242,大众,neu
100243,沃尔沃,neu
100244,哈弗coupe,pos
100245,granlavida,neu
100245,朗行,neu
100245,上海大众,neu
100245,大众,neu
100245,朗逸,neu
100246,golf,neu
100247,海马,neu
100247,海马m6,neu
100249,斯巴鲁xv,pos
100250,东风标致308,neu
100251,帕萨特,pos
100251,雅阁,pos
100252,本田,pos
100253,cs35,neu
100253,逸动,neu
100253,悦翔v3,neu
100253,cs15,neu
100253,奔奔,neu
100253,悦翔v7,neu
100253,睿骋,neu
100253,cs75,neu
100254,大众,neu
100255,英菲尼迪q50,neu
100256,宝骏560,neu
100257,宝马,neu
100257,长城,neu
100258,丰田,neu
100259,翼虎,neu
100260,北京现代,neu
100261,雅阁,neu
100262,别克,neu
100263,凯迪拉克,neu
100264,卡罗拉,neu
100265,劳斯莱斯,neu
100266,帕萨特,neu
100267,明锐,pos
100268,思域,neu
100268,名图,neu
100269,Crown Victoria Police Interceptor,neu
100269,福特,neu
100270,帕萨特,pos
100270,大众,pos
100271,夏朗,pos
100272,速派,pos
100273,桑塔纳,neu
100273,捷达,neu
100273,大众,neu
100274,逍客,neu
100275,长安,pos
100276,福克斯,neu
100277,阿特兹,neu
100277,金牛座,neu
100277,雅阁,neu
100278,比亚迪,pos
100279,逸动,neu
100280,起亚,neu
100280,智跑,neg
100281,长安铃木启悦,neg
100283,凌渡GTS,neu
100284,蒙迪欧,neu
100285,大众尚酷,neg
100286,rs5,neu
100286,奔驰,neu
100286,c63amg,neu
100286,奥迪,neu
100287,君越,neu
100288,雪铁龙cxperience,neu
100290,奥迪,neu
100290,奥迪a4l,neu
100291,保时捷,neu
100291,panamera,neu
100291,hybrid,neu
100291,大众,neu
100291,保时捷panameras,neu
100292,别克凯越,neu
100292,桑塔纳,neu
100292,捷达,neu
100293,雅阁,pos
100294,奥迪,neu
100295,长城,neu
100296,东风标致508,neu
100296,smart,neu
100297,哈弗h6,neu
100299,别克,neu
100300,日产,neu
100300,丰田,neu
100301,马自达,neu
100304,本田,pos
100304,大众,neu
100305,日产,neu
100305,三菱,neu
100306,长安cx70,pos
100307,比亚迪,pos
100308,宝马,neu
100309,长安cs75,neu
100310,凯越,neu
100311,奥迪,pos
100312,科鲁兹,neu
100313,玛莎拉蒂biturboe』,neu
100314,斯柯达,neu
100315,沃尔沃,neu
100316,广汽传祺,neu
100316,传祺,pos
100317,长安福特,neu
100318,昊锐,neu
100319,江淮瑞风s3,neu
100320,别克英朗,neu
100321,奥迪a7sportback,neu
100322,奥迪,neu
100322,a8l,neu
100323,宝马,neu
100324,长安cs75,neu
100325,宝马,neu
100325,bmw,neu
100326,凯美瑞,neu
100327,丰田,neu
100327,福特,neu
100328,奇瑞,neu
100328,帝豪,neu
100329,大众,neu
100330,奥迪,neu
100331,天籁,pos
100332,轩逸,pos
100333,欧蓝德,pos
100334,奥迪,neu
100334,Continental,neu
100334,林肯,neu
100335,东风标致,neu
100335,三菱,neu
100335,长城,neu
100335,别克,neu
100335,北京现代,neu
100335,东南,neu
100336,东风,neu
100336,本田,neu
100336,广汽,neu
100337,威驰,pos
100338,奥迪,pos
100339,梅赛德斯-奔驰,neu
100339,奔驰,neu
100340,高尔夫,neu
100340,朗逸,neu
100341,宝马,neu
100341,奔驰,neg
100341,q70l,pos
100342,广汽传祺,neu
100343,phideon,neu
100343,辉腾,neu
100343,辉昂,pos
100343,大众,pos
100344,伊兰特,pos
100344,捷达,pos
100344,爱丽舍,pos
100345,幻速s3,pos
100346,雅力士,neu
100347,启辰晨风,neu
100348,凯美瑞,neu
100349,凌渡,neu
100350,途观,neu
100352,智跑,pos
100353,长安,neu
100353,长安马自达,neu
100354,长途,pos
100354,Yeti,pos
100355,长安,pos
100356,明锐,pos
100357,马自达昂克赛拉,neu
100358,途观,neu
100358,上汽大众,neu
100359,福克斯,neu
100359,嘉年华,neu
100360,梅赛德斯-奔驰,neu
100361,丰田rav4,neu
100362,q3,neu
100362,汉兰达,neu
100363,560,pos
100363,宝骏,pos
100364,宝马,neu
100365,保时捷,neu
100366,英朗,neu
100366,凯越,neu
100368,宝马,neu
100369,昂科威,pos
100370,福特,neu
100372,宝马,neu
100372,上汽,neu
100372,沃尔沃,neu
100372,标致雪铁龙,neu
100372,福特,neu
100373,夏朗,neu
100375,宝马,neu
100376,斯柯达,neu
100377,广汽传祺,neu
100378,大众,neu
100379,锐界,neu
100379,汉兰达,neu
