SentenceId	View	Opinion
028171	速派	pos
028171	斯柯达	pos
028169	一汽-大众	neu
028169	速腾R-Line	pos
028169	速腾GLI	pos
028169	高尔夫GTI	pos
028168	桑塔纳	neu
028168	奔弛	neu
028164	晶锐	pos
028163	途安L	pos
028152	宝马	pos
028149	威朗	pos
028149	别克	neu
028148	北汽威旺S50	neu
028147	速派	pos
028146	奥迪	neg
028143	东风风神A60	pos
028143	轩逸	neu
028132	君越	neu
028129	凌渡	pos
028128	英朗	neu
028128	朗逸	neu
028127	猎豹CS10	neu
028126	奔腾b50	pos
028122	帕萨特	neg
028122	迈腾	neu
028122	君越	neu
028114	宝马	neu
028109	大众	neu
028109	途观	neu
028107	雪佛兰赛欧	neg
028105	标致308	pos
028104	知豆	neg
028101	飞度	neu
028101	本田	neu
028100	Vision C	neu
028100	速派	pos
028098	别克凯越	pos
028097	帝豪GS	pos
028097	吉利	pos
028095	大众途观	neu
028092	凌渡	neu
028090	大众	neu
028090	奥迪A4	pos
028087	斯柯达	pos
028083	大众	pos
028077	速派	neu
028067	英朗	neu
028067	威朗	neu
028067	凯越	neg
028067	别克	neu
028064	朗逸	pos
028062	Tiguan	neu
028056	明锐	neu
028055	速派	pos
028054	桑塔纳	neu
028054	捷达	neu
028051	众泰	neg
028050	速派	neu
028049	凯迪拉克PHEV	neu
028039	昕动	neu
028039	飞度	neu
028034	朗逸	pos
028026	甲壳虫	neu
028026	大众	neu
028024	速腾	neu
028024	朗逸	neu
028019	雅阁	neu
028019	速派	neu
028007	New Polo	neu
028000	宝马	neu
027998	Passat	neu
027995	大众	pos
027994	北汽幻速H2E	neg
027993	昕锐	neu
027988	上海大众	neu
027987	长安	neu
027987	五菱	neu
027974	福特	neu
027971	速派	pos
027966	q5	neg
027956	东风风神	neu
027951	斯巴鲁森林人	neg
027949	东风标致	neu
027946	斯柯达	neu
027946	明锐	neu
027943	Jeep	pos
027936	道奇Charger Pursuit	neu
027935	凌渡	pos
027932	PoloGTI	pos
027926	上汽大众	neu
027926	凌渡	neu
027923	一汽吉林V80	neg
027922	东风标致	neg
027912	POLO	neg
027910	大众	neu
027910	迈腾	neu
027909	桑塔纳	neu
027909	奔驰	neu
027909	宝马	neu
027902	途安L	neu
027901	比亚迪	neg
027900	大众	neu
027900	途观	pos
027894	迈腾	pos
027892	途安L	neu
027889	宝马	neu
027889	M6	pos
027889	M5	pos
027886	奥迪	neu
027883	朗逸	pos
027881	New Polo	pos
027879	帕美	pos
027874	五菱宏光	pos
027874	日产轩逸	pos
027874	哈弗H6	pos
027874	大众朗逸	pos
027874	宝骏730	pos
027861	途安L	pos
027860	马自达	neg
027859	林肯	neu
027859	凯迪拉克	neu
027853	雷克萨斯	neg
027853	凯迪拉克CT6 PHEV	pos
027852	雅阁	neu
027852	速派	neu
027852	帕萨特	neu
027852	迈腾	neu
027849	昌河铃木	neg
027835	迈腾	neu
027832	朗逸	neu
027829	大众	neu
027829	速派	pos
027827	K5	neg
027825	PHIDEON辉昂	pos
